Code, Label, LangCode
"849", "Extrême-Orient & Océanie", "FR"
"376", "Faible Revenu&Déficit Vi", "FR"
"876", "Faible Revenu&Déficit Vi", "FR"
"185", "Fédération de Russie", "FR"
"66", "Fidji", "FR"
"67", "Finlande", "FR"
"389", "Forum des Caraïbes", "FR"
"68", "France", "FR"
"74", "Gabon", "FR"
"75", "Gambie", "FR"
"73", "Géorgie", "FR"
"81", "Ghana", "FR"
"82", "Gibraltar", "FR"
"84", "Grèce", "FR"
"86", "Grenade", "FR"
"85", "Groenland", "FR"
"449", "GRULA", "FR"
"87", "Guadeloupe", "FR"
"88", "Guam", "FR"
"89", "Guatemala", "FR"
"274", "Guernesey", "FR"
"90", "Guinée", "FR"
"61", "Guinée équatoriale", "FR"
"175", "Guinée-Bissau", "FR"
"91", "Guyana", "FR"
"69", "Guyane française", "FR"
"93", "Haïti", "FR"
"95", "Honduras", "FR"
"97", "Hongrie", "FR"
"31", "Île Bouvet", "FR"
"42", "Île Christmas", "FR"
"264", "Île de Man", "FR"
"111", "Île Johnston", "FR"
"161", "Île Norfolk", "FR"
"259", "Iles Anglo-Normandes", "FR"
"36", "Îles Caïmanes", "FR"
"34", "Iles Canton et Enderbury", "FR"
"47", "Îles Cook", "FR"
"43", "Îles des Cocos (Keeling)", "FR"
"65", "Îles Falkland", "FR"
"64", "Îles Féroé", "FR"
"271", "Îles Géorgie du Sud et Sandwich du Sud", "FR"
"92", "Îles Heard et McDonald", "FR"
"163", "îles Mariannes septentrionales", "FR"
"127", "Îles Marshall", "FR"
"139", "Îles Midway", "FR"
"232", "Îles mineures éloignées des États-Unis", "FR"
"172", "Îles Pitcairn", "FR"
"25", "Îles Salomon", "FR"
"260", "Îles Svalbard et Jan Mayen", "FR"
"224", "Îles Turques et Caïques", "FR"
"240", "Îles Vierges américaines", "FR"
"239", "Îles Vierges britanniques", "FR"
"242", "Îles Wake", "FR"
"243", "Îles Wallis et Futuna", "FR"
"401", "Imp Nets Prod Alim Dvpm", "FR"
"5817", "Imp Nets Prod Alim Dvpm", "FR"
"100", "Inde", "FR"
"252", "Indéfini", "FR"
"101", "Indonésie", "FR"
"365", "IORARC", "FR"
"102", "Iran (République islamique d')", "FR"
"103", "Iraq", "FR"
"104", "Irlande", "FR"
"99", "Islande", "FR"
"105", "Israël", "FR"
"106", "Italie", "FR"
"124", "Jamahiriya arabe libyenne", "FR"
"109", "Jamaïque", "FR"
"110", "Japon", "FR"
"112", "Jordanie", "FR"
"108", "Kazakhstan", "FR"
"114", "Kenya", "FR"
"113", "Kirghizistan", "FR"
"83", "Kiribati", "FR"
"118", "Koweït", "FR"
"350", "LEA", "FR"
"122", "Lesotho", "FR"
"119", "Lettonie", "FR"
"154", "l'ex-République yougoslave de Macédoine", "FR"
"121", "Liban", "FR"
"123", "Libéria", "FR"
"125", "Liechtenstein", "FR"
"126", "Lituanie", "FR"
"442", "LOWA", "FR"
"256", "Luxembourg", "FR"
"129", "Madagascar", "FR"
"131", "Malaisie", "FR"
"130", "Malawi", "FR"
"132", "Maldives", "FR"
"133", "Mali", "FR"
"134", "Malte", "FR"
"460", "Marché Com Afr Or&Austr", "FR"
"143", "Maroc", "FR"
"135", "Martinique", "FR"
"137", "Maurice", "FR"
"136", "Mauritanie", "FR"
"270", "Mayotte", "FR"
"395", "MCA", "FR"
"393", "MCCA", "FR"
"5502", "Mélanésie", "FR"
"433", "MERCOSUR", "FR"
"138", "Mexique", "FR"
"5503", "Micronésie", "FR"
"145", "Micronésie (États fédérés de)", "FR"
"140", "Monaco", "FR"
"362", "Monde", "FR"
"801", "Monde", "FR"
"862", "Monde", "FR"
"5000", "Monde", "FR"
"372", "Monde (ex)", "FR"
